Course Name,Strong Match Count,Strong-High Match Count,Average Similarity,Weighted Mean Salary,Rank Average Similarity,Rank Strong-High Match Count,Rank Strong Match Count,Rank Weighted Mean Salary,Combined Rank,Is Core
COP 2270,143,122,0.31125635322789813,96472.98237175035,51.0,46.5,51.5,50.0,49.75,
COT 4450,147,116,0.3111997072606586,96106.80390811358,52.0,49.0,47.0,52.0,50.0,
CIS 5373,132,112,0.31605216464850794,98087.80375763931,47.0,53.0,55.5,47.0,50.625,
COP 4555,146,115,0.3094447534271451,94866.35361028409,54.0,50.5,48.0,56.0,52.125,4.0
CAP 4612C,119,96,0.31558400222728417,98214.78467197715,48.0,63.0,63.0,45.0,54.75,
CAP 5602,132,113,0.3066560936701852,95822.35864241896,59.0,52.0,55.5,54.0,55.125,
COP 4751,134,110,0.30901316745683205,94434.96263551056,55.0,54.0,54.0,58.0,55.25,
CIS 1940,123,105,0.30692738949559456,96488.61866509398,58.0,58.5,61.0,49.0,56.625,
COT 3510,126,104,0.3070045321356765,95656.10760698038,57.0,60.0,60.0,55.0,58.0,
CAP 5011,129,105,0.30810327725701553,93977.5160772594,56.0,58.5,57.5,60.0,58.0,
CDA 3102,129,109,0.30230219862315544,93821.839637443,62.0,55.5,57.5,61.0,59.0,3.0
CGS 3416,128,93,0.3104241578731426,94364.51455878206,53.0,65.0,59.0,59.0,59.0,
CEN 5076,137,109,0.2990835688466769,91403.08292066326,66.0,55.5,53.0,68.0,60.625,
CNT 4603,144,108,0.3007077996813974,90399.5630573142,64.0,57.0,50.0,75.0,61.5,
CGS 1540,121,98,0.3051883875284084,93226.32312276373,60.0,61.5,62.0,63.0,61.625,
CAP 4630,103,88,0.30229950663308763,94646.90523021844,63.0,66.0,68.0,57.0,63.5,
CDA 4101,113,98,0.29877893153664675,92658.43490755031,67.0,61.5,65.0,64.0,64.375,
COP 5949,117,85,0.3031461791243664,91868.39231776191,61.0,67.0,64.0,66.0,64.5,
COP 3804,100,74,0.2992063225355259,91551.70690553873,65.0,72.5,70.0,67.0,68.625,
IDC 4010C,108,84,0.2931961044149343,90798.30591051729,72.0,68.0,67.0,71.0,69.5,
COP 5614,112,94,0.2924012863705324,89729.05736513698,76.0,64.0,66.0,77.0,70.75,
COP 2250,102,78,0.29649615921946454,90552.39435675624,70.0,70.5,69.0,74.0,70.875,
COP 3835,97,78,0.29491104891220493,90803.0648234177,71.0,70.5,72.0,70.0,70.875,
CAP 2750,80,71,0.2981420047234657,93821.5155321972,68.0,76.0,78.0,62.0,71.0,
COT 5432,86,71,0.29654549053588575,92439.87273807699,69.0,76.0,76.0,65.0,71.5,
CAP 5768,98,74,0.29289317300846407,90126.30083764585,74.0,72.5,71.0,76.0,73.375,
COP 4906,70,62,0.2930434377734051,90807.8896861502,73.0,81.5,82.0,69.0,76.375,
CTS 4408,95,79,0.28515220696842947,86594.23641279271,80.0,69.0,73.0,87.0,77.25,
CDA 4400,87,71,0.28509679405495175,88094.43226391918,81.0,76.0,74.5,80.0,77.875,
CIS 4731,68,63,0.291893459891164,90717.15575476743,77.0,80.0,84.0,73.0,78.5,
CDA 5655,67,60,0.2924472964780275,90755.68944411703,75.0,83.0,87.0,72.0,79.25,
CEN 4010,77,71,0.2820213781713053,87956.2486823593,84.0,76.0,79.0,82.0,80.25,3.0
CTS 2327,71,59,0.28671310148959933,88049.09778450763,78.0,84.0,81.0,81.0,81.0,
COT 3541,75,62,0.2806322789296161,86874.07537699038,86.0,81.5,80.0,85.0,83.125,
CGS 4285,66,55,0.2855106562549291,87787.98981655664,79.0,89.0,89.0,83.0,85.0,
CAP 4506,62,55,0.28473505674059996,88525.87722341334,82.0,89.0,91.0,79.0,85.25,
CEN 5079,83,70,0.2766899056732654,84894.39023486391,93.0,79.0,77.0,95.0,86.0,
CEN 4072,87,71,0.27033027737986204,82500.55017235519,101.0,76.0,74.5,105.0,89.125,
IDC 1000,54,45,0.2825941347018924,88684.39175141462,83.0,97.0,98.5,78.0,89.125,
COP 4703,67,56,0.27671803556555924,85025.67618028652,92.0,86.0,87.0,94.0,89.75,
IDC 5007,65,56,0.2750080928293078,85556.40716761193,95.0,86.0,90.0,92.0,90.75,
